first_name,last_name,party,vote
เชิงชาย,ชาลีรินทร์,พลังประชารัฐ,0
เชิดพงศ์,ราชป้องขันธ์,เพื่อไทย,0
โชติพิพัฒน์,เตชะโสภณมณี,อนาคตใหม่,1
โชติวุฒิ,ธนาคมานุสรณ์,พลังประชารัฐ,0
ไชยวัฒนา,ติณรัตน์,เพื่อไทย,0
ไชยา,พรหมา,เพื่อไทย,0
ซูการ์โน,มะทา,ประชาชาติ,2
ญาณธิชา,บัวเผื่อน,อนาคตใหม่,1
ฐนภัทร,กิตติวงศา,อนาคตใหม่,1
ฐานิสร์,เทียนทอง,พลังประชารัฐ,0
ฐาปกรณ์,กุลเจริญ,พลังประชารัฐ,0
ฐิตินันท์,แสงนาค,อนาคตใหม่,1
ฐิติภัสร์,โชติเดชาชัยนันต์,พลังประชารัฐ,0
ณธีภัสร์,กุลเศรษฐสิทธิ์,อนาคตใหม่,1
ณัฏฐ์ชนน,ศรีก่อเกื้อ,ภูมิใจไทย,0
ณัฏฐพล,จรัสรพีพงษ์,พลังประชารัฐ,0
ณัฏฐพล,ทีปสุวรรณ,พลังประชารัฐ,-1
ณัฐชา,บุญไชยอินสวัสดิ์,อนาคตใหม่,1
ณัฐพงษ์,เรืองปัญญาวุฒิ,อนาคตใหม่,1
ณัฐพงษ์,สุปริยศิลป์,เพื่อไทย,0
ณัฐพล,สืบศักดิ์วงศ์,อนาคตใหม่,1
ณัฐวุฒิ,กองจันทร์ดี,เพื่อไทย,0
ณัฐวุฒิ,บัวประทุม,อนาคตใหม่,1
ณัฐวุฒิ,ประเสริฐสุวรรณ,ชาติไทยพัฒนา,0
ดล,เหตระกูล,ชาติพัฒนา,0
ดะนัย,มะหิพันธ์,เพื่อไทย,0
ดำรงค์,พิเดช,รักษ์ผืนป่าประเทศไทย,0
เดชอิศม์,ขาวทอง,ประชาธิปัตย์,-1
ตรีนุช,เทียนทอง,พลังประชารัฐ,0
ตี๋ใหญ่,พูนศรีธนากูล,เพื่อไทย,0
ไตรเทพ,งามกมล,ภูมิใจไทย,0
ไตรรงค์,ติธรรม,เพื่อไทย,0
ถาวร,เสนเนียม,ประชาธิปัตย์,0
ทรงกลด,ทิพย์รัตน์,พลังชาติไทย,0
ทรงศักดิ์,ทองศรี,ภูมิใจไทย,0
ทวิรัฐ,รัตนเศรษฐ,พลังประชารัฐ,0
ทวีศักดิ์,ทักษิณ,อนาคตใหม่,1
ทศพร,ทองศิริ,อนาคตใหม่,1
ทองแดง,เบ็ญจะปัก,อนาคตใหม่,1
ทัศนาพร,เกษเมธีการุณ,พลังประชารัฐ,0
ทัศนีย์,บูรณุปกรณ์,เพื่อไทย,0
ทัศนียา,รัตนเศรษฐ,พลังประชารัฐ,0
ทายาท,เกียรติชูศักดิ์,เพื่อไทย,1
เทพไท,เสนพงศ์,ประชาธิปัตย์,0
เทวัญ,ลิปตพัลลภ,ชาติพัฒนา,0
เทอดพงษ์,ไชยนันทน์,ประชาธิปัตย์,0
เท่าพิภพ,ลิ้มจิตรกร,อนาคตใหม่,1
เทียบจุฑา,ขาวขำ,เพื่อไทย,0
ธณิกานต์,พรพงษาโรจน์,พลังประชารัฐ,0
ธนกร,ไชยกุล,เพื่อไทย,0
ธนพร,โสมทองแดง,เสรีรวมไทย,1
ธนยศ,ทิมสุวรรณ,ภูมิใจไทย,0
ธนะสิทธิ์,โควสุรัตน์,พลังประชารัฐ,0
ธนัสถ์,ทวีเกื้อกูลกิจ,พลังประชารัฐ,0
ธนาธร,จึงรุ่งเรืองกิจ,อนาคตใหม่,-1
ธรรมนัส,พรหมเผ่า,พลังประชารัฐ,0
ธรรมวิชญ์,โพธิพิพิธ,พลังประชารัฐ,0
ธัญญ์วาริน,สุขะพิสิษฐ์,อนาคตใหม่,1
ธัญวัจน์,กมลวงศ์วัฒน์,อนาคตใหม่,1
ธารา,ปิตุเตชะ,ประชาธิปัตย์,0
ธีรภัทร,พริ้งศุลกะ,ประชาธิปัตย์,0
ธีรรัตน์,สำเร็จวาณิชย์,เพื่อไทย,0
ธีระ,ไตรสรณกุล,เพื่อไทย,0
ธีระ,วงศ์สมุทร,ชาติไทยพัฒนา,0
ธีรัจชัย,พันธุมาศ,อนาคตใหม่,1
นพ,ชีวานันท์,เพื่อไทย,0
นพคุณ,รัฐผไท,เพื่อไทย,0
นพดล,แก้วสุพัฒน์,พลังท้องถิ่นไท,0
นพดล,มาตรศรี,ชาติไทยพัฒนา,0
นพพล,เหลืองทองนารา,เพื่อไทย,1
นภาพร,เพ็ชร์จินดา,เสรีรวมไทย,1
นริศ,ขำนุรักษ์,ประชาธิปัตย์,0
พรชัย,ตระกูลวรานนท์,พลังประชารัฐ,0
นวัธ,เตาะเจริญสุข,เพื่อไทย,1
นัทธี,ถิ่นสาคู,พลังประชารัฐ,0
นาที,รัชกิจประการ,ภูมิใจไทย,0
นิกร,จำนง,ชาติไทยพัฒนา,0
นิคม,บุญวิเศษ,พลังปวงชนไทย,-1
นิติพล,ผิวเหมาะ,อนาคตใหม่,1
นิพันธ์,ศิริธร,พลังประชารัฐ,0
นิยม,ช่างพินิจ,เพื่อไทย,1
นิยม,วิวรรธนดิฐกุล,เศรษฐกิจใหม่,1
นิยม,เวชกามา,เพื่อไทย,0
นิรมิต,สุจารี,เพื่อไทย,0
นิรันดร์,นาเมืองรักษ์,เพื่อไทย,0
นิรามาน,สุไลมาน,อนาคตใหม่,2
นิโรธ,สุนทรเลขา,พลังประชารัฐ,0
บุณย์ธิดา,สมชัย,ประชาธิปัตย์,1
บัญญัติ,เจตนจันทร์,ประชาธิปัตย์,0
บัญญัติ,บรรทัดฐาน,ประชาธิปัตย์,0
บัลลังก์,อรรณนพพร,เพื่อไทย,0
บุญแก้ว,สมวงศ์,เพื่อไทย,0
บุญฐิณ,ประทุมลี,เพื่อไทย,0
บุญยิ่ง,นิติกาญจนา,พลังประชารัฐ,0
บุญรื่น,ศรีธเรศ,เพื่อไทย,0
บุญลือ,ประเสริฐโสภา,ภูมิใจไทย,0
บุญสิงห์,วรินทร์รักษ์,พลังประชารัฐ,0
เบญจา,แสงจันทร์,อนาคตใหม่,1
ปกรณ์,มุ่งเจริญพร,ภูมิใจไทย,0
ปกรณ์วุฒิ,อุดมพิพัฒน์สกุล,อนาคตใหม่,1
ปฐมพงศ์,สูญจันทร์,พลังประชารัฐ,0
ปดิพัทธ์,สันติภาดา,อนาคตใหม่,1
ประกอบ,รัตนพันธ์,ประชาธิปัตย์,0
ประเดิมชัย,บุญช่วยเหลือ,เพื่อไทย,0
ประทวน,สุทธิอำนวยเดช,พลังประชารัฐ,0
ประภัตร,โพธสุธน,ชาติไทยพัฒนา,0
ประภูศักดิ์,จินตะเวช,เพื่อไทย,0
ประมวล,พงศ์ถาวราเดช,ประชาธิปัตย์,0
ประสงค์,บูรณ์พงศ์,เสรีรวมไทย,-1
ประสิทธิ์,มะหะหมัด,พลังประชารัฐ,0
ประสิทธิ์,วุฒินันชัย,เพื่อไทย,0
ประเสริฐ,จันทรรวงทอง,เพื่อไทย,0
ประเสริฐ,บุญเรือง,เพื่อไทย,0
ประเสริฐพงษ์,ศรนุวัตร์,อนาคตใหม่,1
ปริญญา,ช่วยเกตุ คีรีรัตน์,อนาคตใหม่,1
ปริญญา,ฤกษ์หร่าย,พลังประชารัฐ,0
ปรีดา,บุญเพลิง,ครูไทยเพื่อประชาชน,0
ปัญญา,จีนาคำ,พลังประชารัฐ,0
ปารีณา,ไกรคุปต์,พลังประชารัฐ,0
ปิยบุตร,แสงกนกกุล,อนาคตใหม่,1
ปิยวัฒน,พันธ์สายเชื้อ,เพื่อไทย,1
ปิยะรัฐชย์,ติยะไพรัช,เพื่อชาติ,0
ผ่องศรี,แซ่จึง,เพื่อไทย,0
ไผ่,ลิกค์,พลังประชารัฐ,0
พงศกร,รอดชมภู,อนาคตใหม่,1
พงศ์กวิน,จึงรุ่งเรืองกิจ,พลังประชารัฐ,0
พนิต,วิกิตเศรษฐ์,ประชาธิปัตย์,0
พยม,พรหมเพชร,พลังประชารัฐ,0
พรชัย,อำนวยทรัพย์,ภูมิใจไทย,0
พรชัย,อินทร์สุข,พลังประชารัฐ,0
พรเทพ,วิสุทธิ์วัฒนศักดิ์,เพื่อไทย,0
พรพิมล,ธรรมสาร,เพื่อไทย,0
