first_name,last_name,party,vote
สุรศักดิ์,พันธ์เจริญวรกุล,ภูมิใจไทย,0
สุรศักดิ์,อนรรฆพันธ์,พลังประชารัฐ,0
สุรสิทธิ์,นิธิวุฒิวรรักษ์,พลังประชารัฐ,0
สุรสิทธิ์,วงศ์วิทยานันท์,พลังประชารัฐ,0
สุรินทร์,ปาลาเร่,ประชาธิปัตย์,0
สุริยะ,จึงรุ่งเรืองกิจ,พลังประชารัฐ,0
เสมอกัน,เที่ยงธรรม,ชาติไทยพัฒนา,0
เสรีพิศุทธ์,เตมียเวส,เสรีรวมไทย,1
โสภณ,ซารัมย์,ภูมิใจไทย,0
องค์การ,ชัยบุตร,อนาคตใหม่,1
องอาจ,คล้ามไพบูลย์,ประชาธิปัตย์,0
องอาจ,วงษ์ประยูร,เพื่อไทย,0
อดิพงษ์,ฐิติพิทยา,ภูมิใจไทย,0
อธิรัฐ,รัตนเศรษฐ,พลังประชารัฐ,0
อนันต์,ผลอำนวย,พลังประชารัฐ,0
อนันต์,ศรีพันธุ์,เพื่อไทย,0
อนาวิล,รัตนสถาพร,อนาคตใหม่,1
อนุชา,น้อยวงศ์,พลังประชารัฐ,0
อนุชา,นาคาศัย,พลังประชารัฐ,0
อนุดิษฐ์,นาครทรรพ,เพื่อไทย,0
อนุทิน,ชาญวีรกูล,ภูมิใจไทย,0
อนุมัติ,ซูสารอ,ประชาชาติ,2
อนุรักษ์,จุรีมาศ,ชาติไทยพัฒนา,0
อนุรักษ์,ตั้งปณิธานนท์,เพื่อไทย,0
อนุรักษ์,บุญศล,เพื่อไทย,0
อนุสรณ์,ปั้นทอง,เพื่อไทย,0
อนุสรี,ทับสุวรรณ,รวมพลังประชาชาติไทย,0
อภิชัย,เตชะอุบล,ประชาธิปัตย์,0
อภิชา,เลิศพชรกมล,ภูมิใจไทย,0
อภิชาติ,ตีรสวัสดิชัย,เพื่อไทย,-1
อภิชาติ,ศิริสุนทร,อนาคตใหม่,1
อภิสิทธิ์,เวชชาชีวะ,ประชาธิปัตย์,0
อมรัตน์,โชคปมิตต์กุล,อนาคตใหม่,1
อรรถกร,ศิริลัทธยากร,พลังประชารัฐ,0
อรุณ,สวัสดี,พลังประชารัฐ,0
อัครเดช,วงษ์พิทักษ์โรจน์,ประชาธิปัตย์,0
อัครวัฒน์,อัศวเหม,พลังประชารัฐ,0
อัฏฐพล,โพธิพิพิธ,พลังประชารัฐ,0
อันวาร์,สาและ,ประชาธิปัตย์,0
อับดุลบาซิม,อาบู,ภูมิใจไทย,0
อับดุลอายี,สาแม็ง,ประชาชาติ,-1
อัศวิน,วิภูศิริ,ประชาธิปัตย์,0
อาดิลัน,อาลีอิสเฮาะ,พลังประชารัฐ,0
อาภรณ์,สาราคำ,เพื่อไทย,0
อารี,ไกรนรา,เพื่อชาติ,0
อาสพลธ์,สรรณ์ไตรภพ,ภูมิใจไทย,0
อำนาจ,วิลาวัลย์,ภูมิใจไทย,0
อำไพ,กองมณี,เสรีรวมไทย,1
อิทธิรัตน์,จันทรสุรินทร์,เพื่อไทย,0
อิสสระ,สมชัย,ประชาธิปัตย์,0
อุบลศักดิ์,บัวหลวงงาม,เพื่อไทย,0
เอกการ,ซื่อทรงธรรม,อนาคตใหม่,1
เอกชัย,ทรงอำนาจเจริญ,เพื่อไทย,0
เอกธนัช,อินทร์รอด,เพื่อไทย,0
เอกภพ,เพียรพิเศษ,อนาคตใหม่,1
เอกราช,ช่างเหลา,พลังประชารัฐ,0
เอี่ยม,ทองใจสด,พลังประชารัฐ,0
โอชิษฐ์,เกียรติก้องชูชัย,เพื่อไทย,0
